"Taxon.ID","Genome.ID","Genome.Name","Antibiotic","Resistant.Phenotype","Measurement","Measurement.Sign","Measurement.Value","Measurement.Unit","Laboratory.Typing.Method","Laboratory.Typing.Method.Version","Laboratory.Typing.Platform","Vendor","Testing.Standard","Testing.Standard.Year","Computational.Method","Computational.Method.Version","Computational.Method.Performance","Evidence","Source","PubMed","Organism.Name","NCBI.Taxon.ID","Genome.Status","Strain","Serovar","Biovar","Pathovar","MLST","Other.Typing","Culture.Collection","Type.Strain","Completion.Date","Publication","BioProject.Accession","BioSample.Accession","Assembly.Accession","SRA.Accession","GenBank.Accessions","RefSeq.Accessions","Sequencing.Centers","Sequencing.Status","Sequencing.Platform","Sequencing.Depth","Assembly.Method","Chromosomes","Plasmids","Contigs","Genome.Length","GC.Content","PATRIC.CDS","RefSeq.CDS","Isolation.Site","Isolation.Source","Isolation.Comments","Collection.Date","Isolation.Country","Geographic.Location","Latitude","Longitude","Altitude","Depth","Other.Environmental","Host.Name","Host.Gender","Host.Age","Host.Health","Body.Sample.Site","Body.Sample.Subsite","Other.Clinical","AntiMicrobial.Resistance","AntiMicrobial.Resistance.Evidence","Gram.Stain","Cell.Shape","Motility","Sporulation","Temperature.Range","Optimal.Temperature","Salinity","Oxygen.Requirement","Habitat","Disease","Comments","Additional.Metadata","Coarse.Consistency","Fine.Consistency","Checkm.Completeness","Checkm.Contamination","Genome.Quality.Flags","Genome.Quality","Date.Inserted","Date.Modified"
573,573.1426,"Klebsiella pneumoniae KPN587ec","gentamicin","Susceptible","<=2","<=",2,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,NA,"genotype:ST258; Capsule locus KL106",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06437542",NA,"SRR5385441",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,129,5559020,57.17,5619,NA,NA,"RESPIRATORY",NA,"28-Dec-2012","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Resistant;Susceptible","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,97.9,100,NA,NA,"Good","2017-08-09T05:38:07.200Z","2017-08-09T05:38:07.200Z"
573,573.1454,"Klebsiella pneumoniae KPN982ec","gentamicin","Susceptible","<=2","<=",2,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.258","genotype:ST258; Capsule locus KL106",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06437870",NA,"SRR5385835",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,90,5445576,57.27,5458,NA,NA,"URINE",NA,"19-Jun-2013","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Resistant;Susceptible","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6,97.7,100,NA,NA,"Good","2017-08-09T08:53:09.649Z","2017-08-09T08:53:09.649Z"
573,573.13758,"Klebsiella pneumoniae KPN1898ec","gentamicin","Susceptible","<=2","<=",2,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.307","genotype:ST307; Capsule locus KL102",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06438798",NA,"SRR5387371",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,97,5523078,57.26,5476,NA,NA,"URINE",NA,"10-Dec-2014","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.3,97.6,100,NA,NA,"Good","2017-08-09T00:53:51.920Z","2017-08-09T00:53:51.920Z"
573,573.14219,"Klebsiella pneumoniae KPN535ec","gentamicin","Resistant",">8",">",8,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.405","genotype:ST405; Capsule locus KL151",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06437497",NA,"SRR5385486",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,72,5620769,57.03,5561,NA,NA,"DRAIN",NA,"6-Dec-2012","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,97.7,100,0.7,NA,"Good","2017-08-09T05:18:01.102Z","2017-08-09T05:18:01.102Z"
573,573.14463,"Klebsiella pneumoniae KPN881ec","gentamicin","Susceptible","<=2","<=",2,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.432","genotype:ST432; Capsule locus KL57",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06437778",NA,"SRR5385927",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,66,5431032,57.25,5357,NA,NA,"RESPIRATORY",NA,"12-Aug-2013","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.1,97.9,100,1.3,NA,"Good","2017-08-09T07:58:40.273Z","2017-08-09T07:58:40.273Z"
573,573.24337,"Klebsiella pneumoniae strain MUGSI_119","gentamicin","Resistant","16",">",16,"mg/L","MIC",NA,NA,NA,"CLSI",NA,NA,NA,NA,"Laboratory Method",NA,NA,NA,573,"WGS","MUGSI_119",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRJNA288601","SAMN05170253",NA,"SRR4017929",NA,NA,NA,NA,NA,NA,NA,NA,NA,173,6019683,56.674213,6056,NA,NA,"Urine",NA,"09-Jun-2014","United States","United States",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"collected_by:CDC",99.7,97.7,NA,NA,NA,"Good","2019-03-24T03:53:17.901Z","2019-03-24T03:53:17.901Z"
72407,72407.158,"Klebsiella pneumoniae subsp. pneumoniae 1759","gentamicin",NA,">8",">",8,"mg/L","MIC",NA,NA,NA,"CLSI",2013,NA,NA,NA,"Laboratory Method",NA,"24639510",NA,72407,"WGS","1759",NA,NA,NA,NA,"mlst:258",NA,NA,NA,"24639510","PRJNA237670","SAMN02631010",NA,"SRR1166957",NA,NA,NA,NA,NA,NA,NA,NA,NA,129,5649740,57.07,5714,NA,NA,"urine",NA,"2009","United States","New Jersey",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,NA,"AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sra run accession:SRR1166957",99.5,98.1,100,NA,NA,"Good","2016-06-06T21:48:54.878Z","2016-06-06T21:48:54.878Z"
573,573.14102,"Klebsiella pneumoniae KPN379ec","gentamicin","Intermediate","8",NA,8,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.307","genotype:ST307; Capsule locus KL102",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06437372",NA,"SRR5386232",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,81,5474375,57.27,5423,NA,NA,"URINE",NA,"14-May-2012","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,97.6,100,NA,NA,"Good","2017-08-09T04:16:23.954Z","2017-08-09T04:16:23.954Z"
573,573.13728,"Klebsiella pneumoniae KPN1865ec","gentamicin","Susceptible","<=2","<=",2,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.307","genotype:STNF*; Capsule locus KL102",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06438768",NA,"SRR5387401",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,129,5743413,56.81,5768,NA,NA,"RESPIRATORY",NA,"19-Nov-2014","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.2,97.1,100,NA,NA,"Good","2017-08-09T00:38:14.536Z","2017-08-09T00:38:14.536Z"
573,573.14494,"Klebsiella pneumoniae KPN922ec","gentamicin","Susceptible","<=2","<=",2,"mg/L","MIC",NA,"BD phoenix",NA,"CLSI",2017,NA,NA,NA,"Laboratory Method",NA,"28512093;28776045",NA,573,"WGS",NA,NA,NA,NA,"MLST.Klebsiella_pneumoniae.307","genotype:STNF*; Capsule locus KL102",NA,NA,"2017-05-16T00:00:00Z","28512093,28776045","PRJNA376414","SAMN06437814",NA,"SRR5385891",NA,NA,"Houston Methodist Hospital",NA,NA,NA,NA,NA,NA,88,5312984,57.42,5231,NA,NA,"URINE",NA,"4-Sep-2013","USA","USA: Houston",NA,NA,NA,NA,NA,"Human, Homo sapiens",NA,NA,NA,NA,NA,NA,"Susceptible;Resistant","AMR Panel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5,97.8,100,NA,NA,"Good","2017-08-09T08:20:28.353Z","2017-08-09T08:20:28.353Z"
